replica,ARI
1,0.2480469133171723
2,0.2289801324071886
3,0.2534540936474305
4,0.33323657434579507
5,0.3564310319910907
6,0.2923600762238103
7,0.21076207498082533
8,0.2209501902733537
9,0.1477022030786335
10,0.23195284499426203
11,0.3687220572742512
12,0.18078001813560732
13,0.3172525542294564
14,0.19554108530819828
15,0.25809813032655005
16,0.354292210790962
17,0.39201801363824373
18,0.1919031181690374
19,0.24636709934806267
20,0.2358566953234335
21,0.2974060258163604
22,0.3079136608718837
23,0.2731139122613937
24,0.3876081000829919
25,0.25795034985531784
26,0.24384664857121735
27,0.3549584196415265
28,0.2847413010112666
29,0.25345604252333315
30,0.17017908057689032
31,0.11457726170143988
32,0.21802069147714984
33,0.20648676282243889
34,0.23942959597689978
35,0.3089641032353845
36,0.16252085439899022
37,0.20160065693979481
38,0.19857897252002535
39,0.20415741417853625
40,0.2389324702016069
41,0.28850623070241904
42,0.21978591147051038
43,0.34197443334587907
44,0.19088004883411175
45,0.3291250218716115
46,0.3499333508585445
47,0.19957155343333538
48,0.32146458788096943
49,0.29286654050290795
50,0.09381548793424646
51,0.22330060397622617
52,0.3920905431097831
53,0.19871160128231466
54,0.2580942311448577
55,0.2684697873334811
56,0.3480674291405265
57,0.31812355295576766
58,0.2691310376666114
59,0.33673572262754364
60,0.15250035519093316
61,0.27538938016160674
62,0.25932312484583503
63,0.14245274370028926
64,0.16337616319749756
65,0.4002654346249995
66,0.20932144800144503
67,0.1665147392918509
68,0.30548816018797553
69,0.26725968070652173
70,0.2277044119233696
71,0.4708810666963262
72,0.25841482864324467
73,0.34816751746752556
74,0.3087374478019906
75,0.29674943907606655
76,0.3552083018313626
77,0.33489498951344815
78,0.34311429255227555
79,0.2779840540352131
80,0.22292508120649707
81,0.23182372366456272
82,0.10625471961359377
83,0.21465973058692384
84,0.17212887357724607
85,0.2953318063724694
86,0.34274474945500305
87,0.25587514549388557
88,0.24475523788210324
89,0.22757882450951497
90,0.09046513300369977
91,0.21571030386131743
92,0.21737433101285508
93,0.25570302901010805
94,0.10660520006716913
95,0.2106118063004105
96,0.27922196886906064
97,0.3298387187833552
98,0.23098987567612853
99,0.33141609650255877
100,0.23491597317905008
101,0.27661300628272834
102,0.21820235862481088
103,0.24551007213444953
104,0.3421140276414918
105,0.2219498458360755
106,0.18940463726486476
107,0.16846906782368476
108,0.3864731312353254
109,0.2693474657252622
110,0.16343019214076557
111,0.33819777057420236
112,0.3472860336976354
113,0.32140297675990537
114,0.21993556874314385
115,0.3165110115886599
116,0.37798876654970087
117,0.3525192815315298
118,0.23224471112786269
119,0.3341168715575064
120,0.24123941968904916
121,0.3208746942506626
122,0.20411570720187205
123,0.22585871059339246
124,0.25351014315394366
125,0.35026240571646566
126,0.4090157767507411
127,0.236728832370751
128,0.34316679164842173
129,0.3357940493104906
130,0.15376794093699972
131,0.36920902582647813
132,0.3203507790739703
133,0.33011777360772787
134,0.2753926774280454
135,0.23083787213503756
136,0.31210092682243235
137,0.22585793072485152
138,0.2543857178428119
139,0.17418912391815738
140,0.26602303210694755
141,0.3073837896521493
142,0.25694454744420514
143,0.3298576167112754
144,0.2503195130502034
145,0.3072837738910675
146,0.3542376756791852
147,0.24955588665306344
148,0.26453246775771255
149,0.23430070376449402
150,0.20098930959495473
151,0.27682603464184435
152,0.2926746104798271
153,0.25521054820568956
154,0.2943354093396108
155,0.19886173084301093
156,0.3135693983109142
157,0.23497193868375166
158,0.3808575400551009
159,0.15946205440566516
160,0.2909312369212764
161,0.39166802580785864
162,0.09614512473796216
163,0.14620506430197497
164,0.3084906320011994
165,0.25281056270651264
166,0.13693051395844735
167,0.159737993559204
168,0.1961186916311801
169,0.14760947000278712
170,0.24760385833627258
171,0.36424986435435064
172,0.24870365112637718
173,0.24960966192220196
174,0.19359023419261012
175,0.22285372774214812
176,0.15369637695880023
177,0.34773539155322464
178,0.24825331715435064
179,0.24068365302790692
180,0.10062515218821241
181,0.25880807417889296
182,0.1661615935258702
183,0.37287109513043254
184,0.20595757329460318
185,0.144996790478031
186,0.19440599668275227
187,0.35032084937453234
188,0.2537969755585872
189,0.15181098309536248
190,0.25571332730897456
191,0.20800905023596533
192,0.22792300327314022
193,0.20799121310760157
194,0.31549596421703335
195,0.22251155305230977
196,0.13654778344229368
197,0.19167577156753612
198,0.3434048442206434
199,0.16520047699243398
200,0.2641214627530915
