universidad,0,1,2,3,4,6
Universidade Federal de Pernambuco,1,2,3,9,0,0
Pontificia Universidad Catolica de Chile,4,4,0,0,2,0
Universidade de S˜ao Paulo,1,2,1,4,0,0
University of Texas at Dallas,0,0,0,0,3,0
Universidade of Brasília,0,0,2,1,0,0
Universidade Federal de Lavras,0,0,2,1,0,0
Universidade Estadual de Maringá,0,0,0,3,0,0
Hacettepe University,0,0,1,1,0,1
Universidade de Brasília,1,1,0,1,0,0
Universidade Federal de Ceará,0,2,0,0,0,0
